time	n	w1	w2	w3
8.600000000000000000e+01	6.574969341063685579e-01	7.669649211045110881e+00	-9.149349817216775094e+00	-5.865388056003289385e+00
8.700000000000000000e+01	1.345032403411276389e+00	7.542945275335237731e+00	-9.079178954448014593e+00	-5.834116218171737422e+00
8.800000000000000000e+01	1.600495273641400429e+00	7.416146255416430577e+00	-9.011583748327376853e+00	-5.803102785167764566e+00
9.000000000000000000e+01	1.185120143214553723e+00	7.163701019337920251e+00	-8.886384155455505862e+00	-5.741923979948073686e+00
9.400000000000000000e+01	1.293522058381034512e+00	6.670419158061680953e+00	-8.689603775075582348e+00	-5.623474047508575602e+00
9.500000000000000000e+01	5.330100219503407510e-01	6.550353309429183923e+00	-8.653894454227476274e+00	-5.594789236208224992e+00
9.700000000000000000e+01	-9.132391092112625008e-01	6.314387832612454510e+00	-8.600624440491474232e+00	-5.538670385028884979e+00
9.900000000000000000e+01	-1.722512870574778976e+00	6.083689951568471699e+00	-8.572605010354452659e+00	-5.484368084866729554e+00
1.010000000000000000e+02	-1.404587535867824588e+00	5.857585621117274322e+00	-8.570276099481086263e+00	-5.432058165052839449e+00
1.020000000000000000e+02	-8.896515420480570757e-01	5.745985574049007560e+00	-8.578633609578330876e+00	-5.406711336954203695e+00
1.040000000000000000e+02	-1.513325504918911629e-02	5.525142469407698265e+00	-8.613688181665519750e+00	-5.357734879121520244e+00
1.060000000000000000e+02	1.155099199279059768e-01	5.306867360390369548e+00	-8.671616841698750022e+00	-5.311216483840699887e+00
1.110000000000000000e+02	1.787652852291615080e+00	4.771976260032805506e+00	-8.898009175215392474e+00	-5.206943841039651133e+00
1.200000000000000000e+02	-1.417968031971956977e+00	3.925181603679438691e+00	-9.427741078513378170e+00	-5.070601680373182596e+00
1.220000000000000000e+02	-1.613893565478683012e+00	3.787632341174352213e+00	-9.531431215306129801e+00	-5.050644468700786760e+00
1.230000000000000000e+02	-1.134094609705825096e+00	3.730378369628918556e+00	-9.577568738212560717e+00	-5.042208088447688752e+00
1.240000000000000000e+02	-4.547405685301691425e-01	3.682003431715022757e+00	-9.619076537446169084e+00	-5.034830941192209863e+00
1.250000000000000000e+02	2.904569767005329428e-01	3.643412253426140612e+00	-9.655361416810681163e+00	-5.028526966249627250e+00
1.280000000000000000e+02	9.174136584932903737e-01	3.595363035084235381e+00	-9.727080617671029827e+00	-5.016271742446920534e+00
1.290000000000000000e+02	1.071177530242047871e+00	3.604781991557716392e+00	-9.736791650536089193e+00	-5.014465132547677229e+00
1.310000000000000000e+02	1.731017602451804249e+00	3.666421302422401052e+00	-9.731894270417580373e+00	-5.014375045563600253e+00
1.320000000000000000e+02	1.427187551414541344e+00	3.719936130578224809e+00	-9.716359925537989994e+00	-5.016121648512561926e+00
1.350000000000000000e+02	-5.223413604482108896e-01	3.977003561648843721e+00	-9.612477157406935646e+00	-5.028701123956248686e+00
1.420000000000000000e+02	-9.485267653443583136e-01	5.148554108908323990e+00	-8.996339757622665800e+00	-5.102347174242237493e+00
1.450000000000000000e+02	-1.268483820592801958e+00	5.866807278790028946e+00	-8.559852135561817121e+00	-5.153418621303273106e+00
